Name,Team,Number,Position,Age,Height,Weight,College,Salary
Henry Sims,Brooklyn Nets,14,C,26,168,248,Georgetown,947276
Donald Sloan,Brooklyn Nets,15,PG,28,178,205,Texas A&M,947276
Thaddeus Young,Brooklyn Nets,30,PF,27,177,221,Georgia Tech,11235955
Arron Afflalo,New York Knicks,4,SG,30,166,210,UCLA,8000000
Lou Amundson,New York Knicks,17,PF,33,170,220,UNLV,1635476
Thanasis Antetokounmpo,New York Knicks,43,SF,23,180,205,,30888
Carmelo Anthony,New York Knicks,7,SF,32,177,240,Syracuse,22875000
Jose Calderon,New York Knicks,3,PG,34,180,200,,7402812
Cleanthony Early,New York Knicks,11,SF,25,175,210,Wichita State,845059
Langston Galloway,New York Knicks,2,SG,24,155,200,Saint Joseph's,845059
Jerian Grant,New York Knicks,13,PG,23,160,195,Notre Dame,1572360
Robin Lopez,New York Knicks,8,C,28,162,255,Stanford,12650000
Kyle O'Quinn,New York Knicks,9,PF,26,161,250,Norfolk State,3750000
Kristaps Porzingis,New York Knicks,6,PF,20,163,240,,4131720
Kevin Seraphin,New York Knicks,1,C,26,168,278,,2814000
Lance Thomas,New York Knicks,42,SF,28,167,235,Duke,1636842
Sasha Vujacic,New York Knicks,18,SG,32,163,195,,947276
Derrick Williams,New York Knicks,23,PF,25,164,240,Arizona,4000000
Tony Wroten,New York Knicks,5,SG,23,171,205,Washington,167406
Elton Brand,Philadelphia 76ers,42,PF,37,170,254,Duke,
Isaiah Canaan,Philadelphia 76ers,0,PG,25,178,201,Murray State,947276
Robert Covington,Philadelphia 76ers,33,SF,25,179,215,Tennessee State,1000000
Joel Embiid,Philadelphia 76ers,21,C,22,180,250,Kansas,4626960
Jerami Grant,Philadelphia 76ers,39,SF,22,171,210,Syracuse,845059
Richaun Holmes,Philadelphia 76ers,22,PF,22,175,245,Bowling Green,1074169
Carl Landry,Philadelphia 76ers,7,PF,32,176,248,Purdue,6500000
Kendall Marshall,Philadelphia 76ers,5,PG,24,180,200,North Carolina,2144772
T.J. McConnell,Philadelphia 76ers,12,PG,24,173,200,Arizona,525093
Nerlens Noel,Philadelphia 76ers,4,PF,22,172,228,Kentucky,3457800
Jahlil Okafor,Philadelphia 76ers,8,C,20,179,275,Duke,4582680
Ish Smith,Philadelphia 76ers,1,PG,27,175,175,Wake Forest,947276
Nik Stauskas,Philadelphia 76ers,11,SG,22,174,205,Michigan,2869440
Hollis Thompson,Philadelphia 76ers,31,SG,25,173,206,Georgetown,947276
Christian Wood,Philadelphia 76ers,35,PF,20,172,220,UNLV,525093
Bismack Biyombo,Toronto Raptors,8,C,23,170,245,,2814000
Bruno Caboclo,Toronto Raptors,20,SF,20,171,205,,1524000
DeMarre Carroll,Toronto Raptors,5,SF,29,155,212,Missouri,13600000
DeMar DeRozan,Toronto Raptors,10,SG,26,151,220,USC,10050000
James Johnson,Toronto Raptors,3,PF,29,150,250,Wake Forest,2500000
Cory Joseph,Toronto Raptors,6,PG,24,154,190,Texas,7000000
Kyle Lowry,Toronto Raptors,7,PG,30,156,205,Villanova,12000000
Lucas Nogueira,Toronto Raptors,92,C,23,157,220,,1842000
Patrick Patterson,Toronto Raptors,54,PF,27,159,235,Kentucky,6268675
Norman Powell,Toronto Raptors,24,SG,23,152,215,UCLA,650000
Terrence Ross,Toronto Raptors,31,SF,25,151,195,Washington,3553917
Luis Scola,Toronto Raptors,4,PF,36,157,240,,2900000
Jason Thompson,Toronto Raptors,1,PF,29,158,250,Rider,245177
Jonas Valanciunas,Toronto Raptors,17,C,24,159,255,,4660482
Delon Wright,Toronto Raptors,55,PG,24,160,190,Utah,1509360
Leandro Barbosa,Golden State Warriors,19,SG,33,161,194,,2500000
Harrison Barnes,Golden State Warriors,40,SF,24,162,225,North Carolina,3873398
Andrew Bogut,Golden State Warriors,12,C,31,163,260,Utah,13800000
Ian Clark,Golden State Warriors,21,SG,25,164,175,Belmont,947276
Stephen Curry,Golden State Warriors,30,PG,28,165,190,Davidson,11370786
Festus Ezeli,Golden State Warriors,31,C,26,167,265,Vanderbilt,2008748
Draymond Green,Golden State Warriors,23,PF,26,168,230,Michigan State,14260870
Andre Iguodala,Golden State Warriors,9,SF,32,169,215,Arizona,11710456
Shaun Livingston,Golden State Warriors,34,PG,30,150,192,,5543725
Kevon Looney,Golden State Warriors,36,SF,20,151,220,UCLA,1131960
James Michael McAdoo,Golden State Warriors,20,SF,23,152,240,North Carolina,845059
Brandon Rush,Golden State Warriors,4,SF,30,153,220,Kansas,1270964
Marreese Speights,Golden State Warriors,5,C,28,154,255,Florida,3815000
Klay Thompson,Golden State Warriors,11,SG,26,155,215,Washington State,15501000
Anderson Varejao,Golden State Warriors,18,PF,33,156,273,,289755
Cole Aldrich,Los Angeles Clippers,45,C,27,157,250,Kansas,1100602
Jeff Ayres,Los Angeles Clippers,19,PF,29,158,250,Arizona State,111444
Jamal Crawford,Los Angeles Clippers,11,SG,36,159,195,Michigan,5675000
Branden Dawson,Los Angeles Clippers,22,SF,23,160,225,Michigan State,525093
Jeff Green,Los Angeles Clippers,8,SF,29,161,235,Georgetown,9650000
Blake Griffin,Los Angeles Clippers,32,PF,27,162,251,Oklahoma,18907726
Wesley Johnson,Los Angeles Clippers,33,SF,28,163,215,Syracuse,1100602
DeAndre Jordan,Los Angeles Clippers,6,C,27,164,265,Texas A&M,19689000
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,165,230,UCLA,947276
Chris Paul,Los Angeles Clippers,3,PG,31,167,175,Wake Forest,21468695
Paul Pierce,Los Angeles Clippers,34,SF,38,166,235,Kansas,3376000
Pablo Prigioni,Los Angeles Clippers,9,PG,39,168,185,,947726
JJ Redick,Los Angeles Clippers,4,SG,31,169,190,Duke,7085000
Austin Rivers,Los Angeles Clippers,25,PG,23,170,200,Duke,3110796
C.J. Wilcox,Los Angeles Clippers,30,SG,25,171,195,Washington,1159680
Brandon Bass,Los Angeles Lakers,2,PF,31,172,250,LSU,3000000
Tarik Black,Los Angeles Lakers,28,C,24,173,250,Kansas,845059
Anthony Brown,Los Angeles Lakers,3,SF,23,174,210,Stanford,700000
Kobe Bryant,Los Angeles Lakers,24,SF,37,175,212,,25000000
Jordan Clarkson,Los Angeles Lakers,6,PG,24,176,194,Missouri,845059
Roy Hibbert,Los Angeles Lakers,17,C,29,177,270,Georgetown,15592217
Marcelo Huertas,Los Angeles Lakers,9,PG,33,178,200,,525093
Ryan Kelly,Los Angeles Lakers,4,PF,25,179,230,Duke,1724250
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,180,230,Wyoming,1155600
Julius Randle,Los Angeles Lakers,30,PF,21,150,250,Kentucky,3132240
D'Angelo Russell,Los Angeles Lakers,1,PG,20,151,195,Ohio State,5103120
Robert Sacre,Los Angeles Lakers,50,C,27,152,270,Gonzaga,981348
Louis Williams,Los Angeles Lakers,23,SG,29,153,175,,7000000
Metta World Peace,Los Angeles Lakers,37,SF,36,154,260,St. John's,947276
Nick Young,Los Angeles Lakers,0,SF,31,155,210,USC,5219169
Eric Bledsoe,Phoenix Suns,2,PG,26,156,190,Kentucky,13500000
Devin Booker,Phoenix Suns,1,SG,19,157,206,Kentucky,2127840
Chase Budinger,Phoenix Suns,10,SF,28,158,209,Arizona,206192
Tyson Chandler,Phoenix Suns,4,C,33,159,240,,13000000
Archie Goodwin,Phoenix Suns,20,SG,21,160,200,Kentucky,1160160
John Jenkins,Phoenix Suns,23,SG,25,161,215,Vanderbilt,981348
Brandon Knight,Phoenix Suns,3,PG,24,162,189,Kentucky,13500000
Alex Len,Phoenix Suns,21,C,22,163,260,Maryland,3807120
Jon Leuer,Phoenix Suns,30,PF,27,164,228,Wisconsin,1035000
Phil Pressey,Phoenix Suns,25,PG,25,165,175,Missouri,55722
Ronnie Price,Phoenix Suns,14,PG,32,166,190,Utah Valley,947276
Mirza Teletovic,Phoenix Suns,35,PF,30,167,242,,5500000
P.J. Tucker,Phoenix Suns,17,SF,31,168,245,Texas,5500000
T.J. Warren,Phoenix Suns,12,SF,22,169,230,North Carolina State,2041080
Alan Williams,Phoenix Suns,15,C,23,170,260,UC Santa Barbara,83397
Quincy Acy,Sacramento Kings,13,SF,25,171,240,Baylor,981348
James Anderson,Sacramento Kings,5,SG,27,172,213,Oklahoma State,1015421
Marco Belinelli,Sacramento Kings,3,SG,30,173,210,,6060606
Caron Butler,Sacramento Kings,31,SF,36,174,228,Connecticut,1449187
Omri Casspi,Sacramento Kings,18,SF,27,175,225,,2836186
Willie Cauley-Stein,Sacramento Kings,0,C,22,176,240,Kentucky,3398280
Darren Collison,Sacramento Kings,7,PG,28,177,175,UCLA,5013559
DeMarcus Cousins,Sacramento Kings,15,C,25,178,270,Kentucky,15851950
Seth Curry,Sacramento Kings,30,SG,25,179,185,Duke,947276
Duje Dukan,Sacramento Kings,26,PF,24,180,220,Wisconsin,525093
Rudy Gay,Sacramento Kings,8,SF,29,150,230,Connecticut,12403101
Kosta Koufos,Sacramento Kings,41,C,27,151,265,Ohio State,7700000
Ben McLemore,Sacramento Kings,23,SG,23,152,195,Kansas,3156600
Eric Moreland,Sacramento Kings,25,PF,24,153,238,Oregon State,845059
Rajon Rondo,Sacramento Kings,9,PG,30,154,186,Kentucky,9500000
Cameron Bairstow,Chicago Bulls,41,PF,25,155,250,New Mexico,845059
Aaron Brooks,Chicago Bulls,0,PG,31,156,161,Oregon,2250000
Jimmy Butler,Chicago Bulls,21,SG,26,157,220,Marquette,16407500
Mike Dunleavy,Chicago Bulls,34,SG,35,158,230,Duke,4500000
Cristiano Felicio,Chicago Bulls,6,PF,23,159,275,,525093
Pau Gasol,Chicago Bulls,16,C,35,160,250,,7448760
Taj Gibson,Chicago Bulls,22,PF,30,161,225,USC,8500000
Justin Holiday,Chicago Bulls,7,SG,27,162,185,Washington,947276
Doug McDermott,Chicago Bulls,3,SF,24,163,225,Creighton,2380440
Nikola Mirotic,Chicago Bulls,44,PF,25,164,220,,5543725
E'Twaun Moore,Chicago Bulls,55,SG,27,165,191,Purdue,1015421
Joakim Noah,Chicago Bulls,13,C,31,166,232,Florida,13400000
Bobby Portis,Chicago Bulls,5,PF,21,167,230,Arkansas,1391160
Derrick Rose,Chicago Bulls,1,PG,27,168,190,Memphis,20093064
Tony Snell,Chicago Bulls,20,SF,24,169,200,New Mexico,1535880
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,170,198,Saint Mary's,1147276
Channing Frye,Cleveland Cavaliers,9,PF,33,171,255,Arizona,8193029
Kyrie Irving,Cleveland Cavaliers,2,PG,24,172,193,Duke,16407501
LeBron James,Cleveland Cavaliers,23,SF,31,173,250,,22970500
Richard Jefferson,Cleveland Cavaliers,24,SF,35,174,233,Arizona,947276
Dahntay Jones,Cleveland Cavaliers,30,SG,35,175,225,Duke,
James Jones,Cleveland Cavaliers,1,SG,35,176,218,Miami (FL),947276
Sasha Kaun,Cleveland Cavaliers,14,C,31,177,260,Kansas,1276000
Kevin Love,Cleveland Cavaliers,0,PF,27,178,251,UCLA,19689000
Jordan McRae,Cleveland Cavaliers,12,SG,25,179,179,Tennessee,111196
Timofey Mozgov,Cleveland Cavaliers,20,C,29,180,275,,4950000
Iman Shumpert,Cleveland Cavaliers,4,SG,25,150,220,Georgia Tech,8988765
J.R. Smith,Cleveland Cavaliers,5,SG,30,151,225,,5000000
Tristan Thompson,Cleveland Cavaliers,13,C,25,152,238,Texas,14260870
Mo Williams,Cleveland Cavaliers,52,PG,33,153,198,Alabama,2100000
Joel Anthony,Detroit Pistons,50,C,33,154,245,UNLV,2500000
Aron Baynes,Detroit Pistons,12,C,29,155,260,Washington State,6500000
Steve Blake,Detroit Pistons,22,PG,36,156,172,Maryland,2170465
Lorenzo Brown,Detroit Pistons,17,PG,25,157,189,North Carolina State,111444
Reggie Bullock,Detroit Pistons,25,SF,25,158,205,North Carolina,1252440
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,159,205,Georgia,2891760
Spencer Dinwiddie,Detroit Pistons,8,PG,23,160,200,Colorado,845059
Andre Drummond,Detroit Pistons,0,C,22,161,279,Connecticut,3272091
Tobias Harris,Detroit Pistons,34,SF,23,162,235,Tennessee,16000000
Darrun Hilliard,Detroit Pistons,6,SF,23,163,205,Villanova,600000
Reggie Jackson,Detroit Pistons,1,PG,26,164,208,Boston College,13913044
Stanley Johnson,Detroit Pistons,3,SF,20,165,245,Arizona,2841960
Jodie Meeks,Detroit Pistons,20,SG,28,166,210,Kentucky,6270000
Marcus Morris,Detroit Pistons,13,PF,26,167,235,Kansas,5000000
Anthony Tolliver,Detroit Pistons,43,PF,31,168,240,Creighton,3000000
Lavoy Allen,Indiana Pacers,5,PF,27,169,255,Temple,4050000
Rakeem Christmas,Indiana Pacers,25,PF,24,170,250,Syracuse,1007026
Monta Ellis,Indiana Pacers,11,SG,30,171,185,,10300000
Paul George,Indiana Pacers,13,SF,26,172,220,Fresno State,17120106
George Hill,Indiana Pacers,3,PG,30,173,188,IUPUI,8000000
Jordan Hill,Indiana Pacers,27,C,28,174,235,Arizona,4000000
Solomon Hill,Indiana Pacers,44,SF,25,175,225,Arizona,1358880
Ty Lawson,Indiana Pacers,10,PG,28,176,195,North Carolina,211744
Ian Mahinmi,Indiana Pacers,28,C,29,177,250,,4000000
C.J. Miles,Indiana Pacers,0,SF,29,178,231,,4394225
Glenn Robinson III,Indiana Pacers,40,SG,22,179,222,Michigan,1100000
Rodney Stuckey,Indiana Pacers,2,PG,30,180,205,Eastern Washington,7000000
Myles Turner,Indiana Pacers,33,PF,20,150,243,Texas,2357760
Shayne Whittington,Indiana Pacers,42,PF,25,151,250,Western Michigan,845059
Joe Young,Indiana Pacers,1,PG,23,152,180,Oregon,1007026
Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,153,222,,1953960
Jerryd Bayless,Milwaukee Bucks,19,PG,27,154,200,Arizona,3000000
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,155,190,Syracuse,2399040
Jared Cunningham,Milwaukee Bucks,9,SG,25,156,195,Oregon State,947276
Tyler Ennis,Milwaukee Bucks,11,PG,21,157,194,Syracuse,1662360
John Henson,Milwaukee Bucks,31,PF,25,158,229,North Carolina,2943221
Damien Inglis,Milwaukee Bucks,17,SF,21,159,246,,855000
O.J. Mayo,Milwaukee Bucks,3,SG,28,160,210,USC,8000000
Khris Middleton,Milwaukee Bucks,22,SG,24,161,234,Texas A&M,14700000
Greg Monroe,Milwaukee Bucks,15,C,26,162,265,Georgetown,16407500
Steve Novak,Milwaukee Bucks,6,SF,32,163,225,Marquette,295327
Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,164,257,LSU,845059
Jabari Parker,Milwaukee Bucks,12,PF,21,165,250,Duke,5152440
Miles Plumlee,Milwaukee Bucks,18,C,27,166,249,Duke,2109294
Greivis Vasquez,Milwaukee Bucks,21,PG,29,167,217,Maryland,6600000
Rashad Vaughn,Milwaukee Bucks,20,SG,19,168,202,UNLV,1733040
Justin Anderson,Dallas Mavericks,1,SG,22,169,228,Virginia,1449000
J.J. Barea,Dallas Mavericks,5,PG,31,170,185,Northeastern,4290000
Jeremy Evans,Dallas Mavericks,21,SF,28,171,200,Western Kentucky,1100602
Raymond Felton,Dallas Mavericks,2,PG,31,172,205,North Carolina,3950313
Devin Harris,Dallas Mavericks,34,PG,33,173,185,Wisconsin,4053446
David Lee,Dallas Mavericks,42,PF,33,174,245,Florida,2085671
Wesley Matthews,Dallas Mavericks,23,SG,29,175,220,Marquette,16407500
JaVale McGee,Dallas Mavericks,11,C,28,176,270,Nevada,1270964
Salah Mejri,Dallas Mavericks,50,C,29,177,245,,525093
Dirk Nowitzki,Dallas Mavericks,41,PF,37,178,245,,8333334
Zaza Pachulia,Dallas Mavericks,27,C,32,179,275,,5200000
Chandler Parsons,Dallas Mavericks,25,SF,27,180,230,Florida,15361500
Dwight Powell,Dallas Mavericks,7,PF,24,150,240,Stanford,845059
Charlie Villanueva,Dallas Mavericks,3,PF,31,151,232,Connecticut,947276
Deron Williams,Dallas Mavericks,8,PG,31,152,200,Illinois,5378974
Trevor Ariza,Houston Rockets,1,SF,30,153,215,UCLA,8193030
Michael Beasley,Houston Rockets,8,SF,27,154,235,Kansas State,306527
Patrick Beverley,Houston Rockets,2,PG,27,155,185,Arkansas,6486486
Corey Brewer,Houston Rockets,33,SG,30,156,186,Florida,8229375
Clint Capela,Houston Rockets,15,PF,22,157,240,,1242720
Sam Dekker,Houston Rockets,7,SF,22,158,230,Wisconsin,1646400
Andrew Goudelock,Houston Rockets,0,PG,27,159,200,Charleston,200600
James Harden,Houston Rockets,13,SG,26,160,220,Arizona State,15756438
Montrezl Harrell,Houston Rockets,35,PF,22,161,240,Louisville,1000000
Dwight Howard,Houston Rockets,12,C,30,162,265,,22359364
Terrence Jones,Houston Rockets,6,PF,24,163,252,Kentucky,2489530
K.J. McDaniels,Houston Rockets,32,SG,23,164,205,Clemson,3189794
Donatas Motiejunas,Houston Rockets,20,PF,25,165,222,,2288205
Josh Smith,Houston Rockets,5,C,30,166,225,,947276
Jason Terry,Houston Rockets,31,SG,38,167,185,Arizona,947276
Jordan Adams,Memphis Grizzlies,3,SG,21,168,209,UCLA,1404600
Tony Allen,Memphis Grizzlies,9,SG,34,169,213,Oklahoma State,5158539
Chris Andersen,Memphis Grizzlies,7,PF,37,170,245,Blinn College,5000000
Matt Barnes,Memphis Grizzlies,22,SF,36,171,226,UCLA,3542500
Vince Carter,Memphis Grizzlies,15,SG,39,172,220,North Carolina,4088019
Mike Conley,Memphis Grizzlies,11,PG,28,173,175,Ohio State,9588426
Bryce Cotton,Memphis Grizzlies,8,PG,23,174,165,Providence,700902
Jordan Farmar,Memphis Grizzlies,4,PG,29,175,180,UCLA,
Marc Gasol,Memphis Grizzlies,33,C,31,176,255,,19688000
JaMychal Green,Memphis Grizzlies,0,PF,25,177,227,Alabama,845059
P.J. Hairston,Memphis Grizzlies,19,SF,23,178,230,North Carolina,1201440
Jarell Martin,Memphis Grizzlies,10,PF,22,179,239,LSU,1230840
Ray McCallum,Memphis Grizzlies,5,PG,24,180,190,Detroit,
Xavier Munford,Memphis Grizzlies,14,PG,24,150,180,Rhode Island,
Zach Randolph,Memphis Grizzlies,50,PF,34,151,260,Michigan State,9638555
Lance Stephenson,Memphis Grizzlies,1,SF,25,152,230,Cincinnati,9000000
Alex Stepheson,Memphis Grizzlies,35,PF,28,153,270,USC,
Brandan Wright,Memphis Grizzlies,34,PF,28,154,210,North Carolina,5464000
Alexis Ajinca,New Orleans Pelicans,42,C,28,155,248,,4389607
Ryan Anderson,New Orleans Pelicans,33,PF,28,156,240,California,8500000
Omer Asik,New Orleans Pelicans,3,C,29,157,255,,9213483
Luke Babbitt,New Orleans Pelicans,8,SF,26,158,225,Nevada,1100602
Norris Cole,New Orleans Pelicans,30,PG,27,159,175,Cleveland State,3036927
Dante Cunningham,New Orleans Pelicans,44,PF,29,160,230,Villanova,2850000
Anthony Davis,New Orleans Pelicans,23,PF,23,161,253,Kentucky,7070730
Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,162,203,Iowa State,169883
Toney Douglas,New Orleans Pelicans,16,PG,30,163,195,Florida State,1164858
James Ennis,New Orleans Pelicans,4,SF,25,164,210,Long Beach State,845059
Tyreke Evans,New Orleans Pelicans,1,SG,26,165,220,Memphis,10734586
Tim Frazier,New Orleans Pelicans,2,PG,25,166,170,Penn State,845059
Alonzo Gee,New Orleans Pelicans,15,SF,29,167,225,Alabama,1320000
Eric Gordon,New Orleans Pelicans,10,SG,27,168,215,Indiana,15514031
Jordan Hamilton,New Orleans Pelicans,25,SG,25,169,220,Texas,1015421
Jrue Holiday,New Orleans Pelicans,11,PG,25,170,205,UCLA,10595507
Orlando Johnson,New Orleans Pelicans,0,SG,27,171,220,UC Santa Barbara,55722
Kendrick Perkins,New Orleans Pelicans,5,C,31,172,270,,947276
Quincy Pondexter,New Orleans Pelicans,20,SF,28,173,220,Washington,3382023
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,174,240,Texas,19689000
Kyle Anderson,San Antonio Spurs,1,SF,22,175,230,UCLA,1142880
Matt Bonner,San Antonio Spurs,15,C,36,176,235,Florida,947276
Boris Diaw,San Antonio Spurs,33,C,34,177,250,,7500000
Tim Duncan,San Antonio Spurs,21,C,40,178,250,Wake Forest,5250000
Manu Ginobili,San Antonio Spurs,20,SG,38,179,205,,2814000
Danny Green,San Antonio Spurs,14,SG,28,180,215,North Carolina,10000000
Kawhi Leonard,San Antonio Spurs,2,SF,24,150,230,San Diego State,16407500
Boban Marjanovic,San Antonio Spurs,40,C,27,151,290,,1200000
Kevin Martin,San Antonio Spurs,23,SG,33,152,199,Western Carolina,200600
Andre Miller,San Antonio Spurs,24,PG,40,153,200,Utah,250750
Patty Mills,San Antonio Spurs,8,PG,27,154,185,Saint Mary's,3578947
Tony Parker,San Antonio Spurs,9,PG,34,155,185,,13437500
Jonathon Simmons,San Antonio Spurs,17,SG,26,156,195,Houston,525093
David West,San Antonio Spurs,30,PF,35,157,250,Xavier,1499187
Kent Bazemore,Atlanta Hawks,24,SF,26,158,201,Old Dominion,2000000
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,159,205,Michigan,1304520
Kirk Hinrich,Atlanta Hawks,12,SG,35,160,190,Kansas,2854940
Al Horford,Atlanta Hawks,15,C,30,161,245,Florida,12000000
Kris Humphries,Atlanta Hawks,43,PF,31,162,235,Minnesota,1000000
Kyle Korver,Atlanta Hawks,26,SG,35,163,212,Creighton,5746479
Paul Millsap,Atlanta Hawks,4,PF,31,164,246,Louisiana Tech,18671659
Mike Muscala,Atlanta Hawks,31,PF,24,165,240,Bucknell,947276
Lamar Patterson,Atlanta Hawks,13,SG,24,166,225,Pittsburgh,525093
Dennis Schroder,Atlanta Hawks,17,PG,22,167,172,,1763400
Mike Scott,Atlanta Hawks,32,PF,27,168,237,Virginia,3333333
Thabo Sefolosha,Atlanta Hawks,25,SF,32,169,220,,4000000
Tiago Splitter,Atlanta Hawks,11,C,31,170,245,,9756250
Walter Tavares,Atlanta Hawks,22,C,24,171,260,,1000000
Jeff Teague,Atlanta Hawks,0,PG,27,172,186,Wake Forest,8000000
Nicolas Batum,Charlotte Hornets,5,SG,27,173,200,,13125306
Troy Daniels,Charlotte Hornets,30,SG,24,174,205,Virginia Commonwealth,947276
Jorge Gutierrez,Charlotte Hornets,12,PG,27,175,189,California,189455
Tyler Hansbrough,Charlotte Hornets,50,PF,30,176,250,North Carolina,947276
Aaron Harrison,Charlotte Hornets,9,SG,21,177,210,Kentucky,525093
Spencer Hawes,Charlotte Hornets,0,PF,28,178,245,Washington,6110034
Al Jefferson,Charlotte Hornets,25,C,31,179,289,,13500000
Frank Kaminsky III,Charlotte Hornets,44,C,23,180,240,Wisconsin,2612520
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,150,232,Kentucky,6331404
Jeremy Lamb,Charlotte Hornets,3,SG,24,151,185,Connecticut,3034356
Courtney Lee,Charlotte Hornets,1,SG,30,152,200,Western Kentucky,5675000
Jeremy Lin,Charlotte Hornets,7,PG,27,153,200,Harvard,2139000
Kemba Walker,Charlotte Hornets,15,PG,26,154,184,Connecticut,12000000
Marvin Williams,Charlotte Hornets,2,PF,29,155,237,North Carolina,7000000
Cody Zeller,Charlotte Hornets,40,C,23,156,240,Indiana,4204200
Chris Bosh,Miami Heat,1,PF,32,157,235,Georgia Tech,22192730
Luol Deng,Miami Heat,9,SF,31,158,220,Duke,10151612
Goran Dragic,Miami Heat,7,PG,30,159,190,,14783000
Gerald Green,Miami Heat,14,SF,30,160,205,,947276
Udonis Haslem,Miami Heat,40,PF,36,161,235,Florida,2854940
Joe Johnson,Miami Heat,2,SF,34,162,240,Arkansas,261894
Tyler Johnson,Miami Heat,8,SG,24,163,186,Fresno State,845059
Josh McRoberts,Miami Heat,4,PF,29,164,240,Duke,5543725
Josh Richardson,Miami Heat,0,SG,22,165,200,Tennessee,525093
Amar'e Stoudemire,Miami Heat,5,PF,33,166,245,,947276
Dwyane Wade,Miami Heat,3,SG,34,167,220,Marquette,20000000
Briante Weber,Miami Heat,12,PG,23,168,165,Virginia Commonwealth,
Hassan Whiteside,Miami Heat,21,C,26,169,265,Marshall,981348
Justise Winslow,Miami Heat,20,SF,20,170,225,Duke,2481720
Dorell Wright,Miami Heat,11,SF,30,171,205,,
Dewayne Dedmon,Orlando Magic,3,C,26,172,245,USC,947276
Evan Fournier,Orlando Magic,10,SG,23,173,205,,2288205
Aaron Gordon,Orlando Magic,0,PF,20,174,220,Arizona,4171680
Mario Hezonja,Orlando Magic,23,SG,21,175,218,,3741480
Ersan Ilyasova,Orlando Magic,7,PF,29,176,235,,7900000
Brandon Jennings,Orlando Magic,55,PG,26,177,169,,8344497
Devyn Marble,Orlando Magic,11,SF,23,178,200,Iowa,845059
Shabazz Napier,Orlando Magic,13,PG,24,179,175,Connecticut,1294440
Andrew Nicholson,Orlando Magic,44,PF,26,180,250,St. Bonaventure,2380593
Victor Oladipo,Orlando Magic,5,SG,24,150,210,Indiana,5192520
Elfrid Payton,Orlando Magic,4,PG,22,151,185,Louisiana-Lafayette,2505720
